PlayerID,Name,Team,Orig_pos,Gen_pos,YrsPro,Ht,Wt,Season,FPPG_2016,FPPG_2017,FPPG_2018,FPPG_2019,FPPG_2020,FPPG_2021,FPPG_2022,FPPG_2023,FPPG_2024,FPPG_2025,STDEV_2016,STDEV_2017,STDEV_2018,STDEV_2019,STDEV_2020,STDEV_2021,STDEV_2022,STDEV_2023,STDEV_2024,STDEV_2025
WillTr06,Trayveon Williams,Cincinnati Bengals,RB,RB,0,68,206,2019,,,,2.748617701,2.817974994,2.853700116,2.660966499,2.231632321,1.714697286,0.883309148,,,,4.637369917,4.373588642,3.933541974,4.045442244,4.028683948,3.276779413,3.306607628
WillDa11,Damion Willis,Cincinnati Bengals,WR,WR,2,75,204,2019,,0,0,1.083859876,0.889192259,0.713035648,0.414634101,0.040919609,-0.08893152,-0.175005193,,0,0,3.005345138,2.822918184,2.562006772,2.50885472,2.259703521,1.792741198,1.484198031
BeckOd00,Odell Beckham,Cleveland Browns,WR,WR,5,71,198,2019,12.25,3.0625,9.5625,8.621340247,7.037821982,6.856921637,3.84684582,2.291518043,0.587216825,-0.03703718,0,0,0,3.705522712,5.048438768,3.616780068,4.139584202,3.510297038,2.978153857,2.721146431
BrowPh01,Pharaoh Brown,Cleveland Browns,TE,TE,2,78,258,2019,,0,0,0.581953433,0.420452461,0.373418295,0.313011216,0.209848538,-0.004712285,-0.063224653,,0,0,1.995719195,1.596905148,1.453380709,1.416800624,1.310492782,1.482384812,1.165651662
ChubNi00,Nick Chubb,Cleveland Browns,RB,RB,1,71,227,2019,,,10.9375,9.770508398,8.698198629,8.391108224,7.290000071,6.290116699,4.563468466,2.694685941,,,0,5.918920726,5.113118837,5.395970872,5.437430274,4.450701058,3.930276523,4.608820566
GilbGa01,Garrett Gilbert,Cleveland Browns,QB,QB,5,76,230,2019,0,0,0.125,2.579364308,0.547850251,0.571935103,0.556935522,-0.129341442,-0.218243797,-0.309871386,0,0,0,6.265923743,4.923991158,3.441250055,2.833413161,3.527564024,2.153365638,1.775419654
HarrDe03,Demetrius Harris,Cleveland Browns,TE,TE,5,79,230,2019,1.25,1.75,2.125,1.96456602,1.589781077,1.451302748,0.848822897,0.351463938,-0.037405592,-0.10938266,0,0,0,1.701916268,1.578066945,1.466084909,1.444237023,1.440881716,1.196676166,0.724222968
HiggRa00,Rashard Higgins,Cleveland Browns,WR,WR,3,73,198,2019,0.5,2.625,4.9375,4.253318198,4.06937903,3.516813053,2.988192166,2.342736576,1.596532381,0.709991537,0,0,0,3.427020668,3.334466517,3.055135191,2.859810833,2.726475241,2.304964085,2.212337586
HillDo00,Dontrell Hilliard,Cleveland Browns,RB,RB,1,71,202,2019,,,0.5625,2.314419857,1.596088766,1.561189533,1.420991179,0.835690431,0.230423502,-0.135920976,,,0,4.735894197,3.599253652,3.451852233,3.709180181,2.988512707,2.872354477,2.825984234
HodgKh00,KhaDarel Hodge,Cleveland Browns,WR,WR,1,74,205,2019,,,0.125,1.727976548,1.20820024,1.762321658,1.718540929,1.391973078,1.07002148,0.472167572,,,0,3.427907813,2.606929309,2.931552276,2.596987842,2.240606523,2.089046693,1.996145173
JohnDE04,D''Ernest Johnson,Cleveland Browns,RB,RB,3,70,208,2019,0,0,0,1.881328167,0.254671341,-0.007804959,-0.148025901,-0.325857628,-0.476315444,-0.577991623,0,0,0,4.555454821,3.927144609,3.275470966,3.084227358,2.507608017,1.755594853,0.966981437
LandJa00,Jarvis Landry,Cleveland Browns,WR,WR,5,71,196,2019,8.5625,9.25,8.5,7.800005164,6.700381903,5.651651472,3.828027121,2.441994247,0.481209367,-0.200070668,0,0,0,4.115695942,4.164461595,3.909675929,4.181394463,3.879780054,3.496516681,3.266611846
MayfBa00,Baker Mayfield,Cleveland Browns,QB,QB,1,73,215,2019,,,15,14.9632894,13.63974343,13.19797109,12.20597106,10.74822603,9.359726418,7.721468649,,,0,7.522757792,6.727747364,5.999041161,5.893834237,6.229104862,4.778073408,4.132905718
NjokDa00,David Njoku,Cleveland Browns,TE,TE,2,76,246,2019,,3.9375,5.5,5.336321539,5.211298727,4.881701204,4.569535759,3.933787626,3.463985626,2.60230272,,0,0,2.611533861,2.484432197,2.637581243,2.426137648,2.233407568,2.061760304,1.997762325
RatlDa00,Damion Ratley,Cleveland Browns,WR,WR,1,74,200,2019,,,0.875,1.952204839,1.755220193,1.946471834,1.728608305,1.34671285,0.903870484,0.380198303,,,0,3.125960038,2.93733494,2.953549523,2.640715501,2.463459439,2.192386126,2.042324523
SealRi00,Ricky Seals-Jones,Cleveland Browns,TE,TE,2,77,243,2019,,2.375,2.5,2.998625397,2.949383499,2.851392252,2.751740933,2.362989967,2.065044396,1.72413151,,0,0,2.464110382,1.796624739,1.817455819,1.558283772,1.636747919,2.089323911,1.155699619
TaylTa00,Taywan Taylor,Cleveland Browns,WR,WR,2,71,203,2019,,2.0625,3.1875,4.02521256,3.76890211,3.601956963,2.895259213,2.023066808,1.309722419,0.976216584,,0,0,3.942039734,3.30479172,4.383020951,3.304132382,2.745658516,3.474119557,2.944301715
AlieMo00,Mo Alie-Cox,Indianapolis Colts,TE,TE,1,77,267,2019,,,1.5625,1.497109697,1.559213391,1.621831935,1.573021321,1.390214217,1.267602224,1.03630842,,,0,1.718801822,1.720803731,1.528950615,1.377718444,1.388231686,1.306414587,1.316453291
BrisJa00,Jacoby Brissett,Indianapolis Colts,QB,QB,3,76,238,2019,1.75,12.875,-0.0625,6.495502243,4.501084801,4.796410172,3.785128942,3.686549242,2.122489386,1.868769796,0,0,0,7.396508182,4.658816401,4.124724655,3.424571433,3.461767418,4.145483015,3.657081085
CainDe00,Deon Cain,Indianapolis Colts,WR,WR,1,74,202,2019,,,0,1.417121305,1.258204757,1.332167349,1.145525708,0.824210097,0.409262124,-0.006536279,,,0,3.088868331,2.84844992,2.762769684,2.602819087,2.413789072,2.016357818,1.926463302
CampPa00,Parris Campbell,Indianapolis Colts,WR,WR,0,72,205,2019,,,,2.896989039,3.554777752,3.618687507,3.711482403,3.591303994,2.969386799,2.44066553,,,,3.26888232,3.578487142,3.343000401,3.32638196,3.069494667,3.049342537,2.674649472
DoylJa00,Jack Doyle,Indianapolis Colts,TE,TE,6,78,262,2019,5.375,5.5625,2.1875,3.577097714,2.747112805,2.064093265,1.383020477,0.471049211,-0.020699783,-0.16362427,0,0,0,2.281849404,2.739700588,2.063001522,2.021311623,1.59953103,1.464469981,1.417957419
EbroEr00,Eric Ebron,Indianapolis Colts,TE,TE,5,76,253,2019,5.1875,4.9375,9.75,7.308105851,7.072290969,6.552567988,5.52121763,4.835307621,3.462399434,2.802431329,0,0,0,3.033059466,2.7174753,2.846899114,2.881131309,2.437684766,2.524303849,2.201303651
HentHa00,Hale Hentges,Indianapolis Colts,TE,TE,3,76,245,2019,0,0,0,0.524143337,0.241660647,0.272175112,0.257152783,0.077094956,-0.040056308,-0.087696245,0,0,0,1.689617222,1.388095076,1.484911766,1.355862059,1.151398086,1.266267766,1.184316504
HiltT.00,T.Y. Hilton,Indianapolis Colts,WR,WR,7,70,183,2019,11.5625,7.4375,10.1875,8.50350637,7.368643407,5.718825793,3.514740233,1.508572428,-0.092277881,-0.407961789,0,0,0,4.028108373,4.122931703,4.291094144,4.315493378,3.905216566,2.948461654,2.270457011
HineNy00,Nyheim Hines,Indianapolis Colts,RB,RB,1,69,196,2019,,,6.125,6.232613811,5.779328031,5.607147897,5.101932245,4.344274163,3.248341086,1.968113017,,,0,5.211480313,4.524981517,4.312663716,4.428739888,3.685710853,3.502634994,3.755765751
HoyeBr00,Brian Hoyer,Indianapolis Colts,QB,QB,10,74,216,2019,5,8,-0.0625,5.332802295,1.545123072,-0.114718964,-0.123109091,-0.52677138,-0.710005406,-0.852095045,0,0,0,8.437437582,3.449753814,9.121069037,2.743547177,3.253566814,1.1429799,0.7625361
MackMa00,Marlon Mack,Indianapolis Colts,RB,RB,2,72,210,2019,,5.125,10.0625,8.524666798,7.823438112,7.477195594,6.580976145,5.052452647,3.430891006,1.853241224,,0,0,5.544673989,5.108546584,5.037753864,4.514002557,4.376184636,4.65908048,4.068964482
PascZa00,Zach Pascal,Indianapolis Colts,WR,WR,1,74,214,2019,,,2.5,2.78513743,2.467086703,2.633783333,2.449333411,1.88852582,1.546016585,0.857426739,,,0,3.286416158,2.871015105,2.959079445,2.735052517,2.583083657,2.257043205,2.088915759
RogeCh02,Chester Rogers,Indianapolis Colts,WR,WR,3,72,184,2019,1.6875,2.1875,4,3.843178727,3.237527931,2.555563848,1.967424851,1.233817743,0.376775315,-0.102742982,0,0,0,3.489610838,3.529759607,3.383494523,3.028785784,2.859645044,2.567338923,2.34678105
WilkJo01,Jordan Wilkins,Indianapolis Colts,RB,RB,1,73,216,2019,,,2.75,3.306876447,2.943185338,2.82748894,2.569863329,2.003603045,1.377542726,0.533990041,,,0,4.103262129,3.54667225,3.31817989,3.360898178,2.809707304,2.692341667,2.652090424
WillJo07,Jonathan Williams,Indianapolis Colts,RB,RB,3,72,217,2019,0.6875,0,0,2.033376471,0.365534856,0.055924104,-0.12735089,-0.29111009,-0.416170444,-0.506487881,0,0,0,4.551959918,3.761713442,3.280269929,2.712587612,2.19396789,1.502888725,0.811611559
ByrdDa00,Damiere Byrd,Arizona Cardinals,WR,WR,3,69,180,2019,0.125,1.875,0.0625,1.648452986,1.045377357,0.75616284,0.13657098,0.283431059,-0.079151623,-0.146097884,0,0,0,2.651887854,2.631967367,1.739082088,2.162821083,1.197578353,1.094486119,1.234081153
ClayCh00,Charles Clay,Arizona Cardinals,TE,TE,8,75,246,2019,4.9375,4.25,1,1.984998428,1.151200145,0.240107499,-0.084873234,-0.304593886,-0.383127454,-0.486149827,0,0,0,1.841023977,1.957833648,1.834364065,1.625426327,2.026949517,0.855760156,0.489377665
CrabMi00,Michael Crabtree,Arizona Cardinals,WR,WR,10,73,215,2019,9.5,7.125,4.9375,4.753647449,2.618452217,1.141538014,-0.122042111,-0.59029359,-0.849735783,-1.139496297,0,0,0,4.068770501,4.631038975,3.586119954,3.286697567,3.683400908,2.640603269,2.642264704
EdmoCh00,Chase Edmonds,Arizona Cardinals,RB,RB,1,69,210,2019,,,2.6875,3.608341476,3.19563834,3.128039685,2.989270962,2.38033905,1.838198664,1.037134219,,,0,4.365306908,3.441734887,3.21957925,3.234511713,2.804386785,2.540106904,2.594173116
FitzLa00,Larry Fitzgerald,Arizona Cardinals,WR,WR,15,75,218,2019,8.5625,9.5,7.3125,3.405105748,2.894717439,-0.05427532,-0.454580818,-0.719005009,-1.04925055,-1.221106528,0,0,0,6.656436392,4.810055678,3.732076476,2.616955335,1.448868854,2.704559003,1.555816243
FostD.01,D.J. Foster,Arizona Cardinals,RB,RB,3,72,205,2019,0.1875,0.9375,0,1.314216359,0.563428855,0.140772975,-0.062610953,-0.178240534,-0.302274252,-0.401501525,0,0,0,3.538715166,3.319255346,2.904576814,2.723894886,2.265221854,2.089844269,1.626427343
HundBr00,Brett Hundley,Arizona Cardinals,QB,QB,4,75,226,2019,-0.125,7.6875,0,5.067711748,3.91191733,3.757037257,3.280309531,3.12460795,2.163884629,1.627687671,0,0,0,5.595194234,4.855022103,4.328922944,4.138986351,3.713245738,3.93055913,3.546755812
IsabAn00,Andy Isabella,Arizona Cardinals,WR,WR,0,69,188,2019,,,,3.033881284,3.843713831,3.941902841,3.982186707,3.97012047,3.328522231,2.598711404,,,,3.310570341,3.757813541,3.418126106,3.49516311,3.142959511,3.1765518,2.958886188
