PlayerID,CompRank,CompID,CompName,CompYr,Similarity,Sim_Adjust,Neg3YrAV,Neg2YrAV,Neg1YrAV,0YrAV,1YrAV,2YrAV,3YrAV,4YrAV,5YrAV,6YrAV,YrDiff,AgeDiff,SzDiff,DrftDiff,RosterDiff,SttsDiff
VeasJo00,8,FrueIs00,Isaac Fruechte,2016,43.5100106215079,0.0,,,,0.0,0.0,0.0,0.0,,,,1.09,1.25,1.0630849869050543,1.25,-0.15222475565406013,0.5671455842409142
VeasJo00,9,PruiJu00,Julius Pruitt,2011,43.4856229137888,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.75,0.8709600103346056,1.25,0.009878482005027278,0.5911813542656568
VeasJo00,10,DevoTo00,Todd Devoe,2005,42.87662585132163,0.0,,,,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.25,0.8593311218880055,1.25,-0.004944493417534668,0.5704609666989653
HentHa00,1,SmytDu00,Durham Smythe,2019,65.93790978058476,0.0,,,0.3125,0.4375,,,,,,,1.21,1.25,0.6337309610583156,0.7843854866952706,1.1273306956931899,0.7085257224940635
HentHa00,2,EdwaEr00,Eric Edwards,2005,62.12339037388386,0.0,,,0.3125,1.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.75,0.9128907788498333,1.25,1.0507663861782683,0.6521087629300848
HentHa00,3,WalkHu00,Delanie Walker,2007,61.18325298690033,0.0,,,0.1875,1.4375,1.25,1.6875,2.1875,2.375,3.125,5.8125,0.73,0.75,0.6865993824880847,1.25,1.113121593050655,0.6837981343384171
HentHa00,4,UzomC.00,C.J. Uzomah,2016,60.60026395437062,0.0,,,0.0,1.8125,0.9375,3.875,2.25,,,,1.09,0.75,0.6337309610583156,1.1174174785275224,0.9734124962557998,0.5693395121075888
HentHa00,5,SwaiGe00,Geoff Swaim,2016,59.52906746603557,0.0,,,0.0,0.4375,0.1875,1.875,0.4375,,,,1.09,0.75,0.9951158912341651,1.25,0.5449575579982866,0.5852024420308806
HentHa00,6,HeueJe00,Jeff Heuerman,2017,58.78121976307181,0.0,,0.0,0.875,1.625,2.5,1.0625,,,,,1.13,0.75,0.9220074053371342,0.6187809413523702,0.5780684518681244,0.9253069052652348
HentHa00,7,HewiRy00,Ryan Hewitt,2015,58.007081441728594,0.0,,,0.5625,0.625,0.0625,0.125,0.375,0.0,,,1.05,1.25,1.0800772608227767,1.25,0.4504430187148777,0.43177312684531466
